35~2010~10~ict-10-02-27~27~2~4~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සහ බූලීය වීජී තර්කය~~~~~~~~
36~2010~10~ict-10-02-28~28~2~4~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~AND තාර්කික ද්වාරය~~~~~~~~
37~2010~10~ict-10-02-29~29~2~4~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~OR තාර්කික ද්වාරය~~~~~~~~
38~2010~10~ict-10-02-30~30~2~4~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර යනු කුමක්ද~~~~~~~~
39~2010~10~ict-10-02-31~31~2~4~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~සංයුකත තාර්කික ද්වාර~~~~~~~~
40~2010~10~ict-10-02-32~32~2~4~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර සමඟ බූලීය වීජ තර්කය  ~තාර්කික ද්වාර භාවිතයෙන් සංඛ්‍යාංක පරිපථ නිර්මාණය හා ඒවායේ ප්‍රතිදාන ලියදක්විම~~~~~~~~
41~2010~10~ict-10-02-38~38~2~5~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධති හැදින්වීම~~~~~~~~
42~2010~10~ict-10-02-42~42~2~5~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධතියක සේවා~~~~~~~~
43~2010~10~ict-10-02-43~43~2~5~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධති     ~ආරක්ෂණ කළමනාකරණය~~~~~~~~
44~2010~10~ict-10-02-44~44~2~5~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධති     ~පංගු බෙදීම~~~~~~~~
45~2010~10~ict-10-02-45~45~2~5~මෙහෙයුම් පද්ධති     ~මෙහෙයුම් පද්ධති     ~ගොනු පද්ධතිය~~~~~~~~
46~2010~10~ict-10-02-47~47~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~වදන් සැකසුම් මෘදුකාංග භාවිතා කර එදිනෙද ගැටළු විසදීම~~~~~~~~
47~2010~10~ict-10-02-50~50~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~වදන් සැකසුම් සංකල්පය හා එහි ලක්ෂණ ගවේෂණය කරයි~~~~~~~~
48~2010~10~ict-10-02-51~51~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~වදන් සැකසුම්  මෘදුකාංගයක මුලික ලක්ෂණ~~~~~~~~
49~2010~10~ict-10-02-55~55~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~වදන් සැකසුම් මෘදුකාංගයන්හි පාඨ හැඩසව් යෙදීම   ~~~~~~~~
50~2010~10~ict-10-02-56~56~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~ඡේදයක් ලබාගැනීම සදහා~~~~~~~~
51~2010~10~ict-10-02-57~57~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~ලේඛනයට විචිත්‍ර බව එකතු කිරීම~~~~~~~~
52~2010~10~ict-10-02-59~59~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~වගු නිර්මාණ සැකසුම් හා වගු සංස්කරණය භාවිතා කරයි~~~~~~~~
53~2010~10~ict-10-02-63~63~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~සෝදු පත් බැලීම~~~~~~~~
54~2010~10~ict-10-02-64~64~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~පිටු සැකසුම~~~~~~~~
55~2010~10~ict-10-02-67~67~2~6~වදන් සැකසීම   ~වදන් සැකසීම   ~සංඛ්‍යාවක MSD සහ LSD~~~~~~~~
56~2010~10~ict-10-03-01~1~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පතක මූලික ලක්ෂණ~~~~~~~~
57~2010~10~ict-10-03-02~2~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~විවිධ විද්‍යුත් පැතුරුම්පත් මෘදුකාංග~~~~~~~~
58~2010~10~ict-10-03-03~3~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~පැතුරුම්පතක මුලික ලක්ෂණ හා කාර්යන් පිළිබද ගවේෂණය~~~~~~~~
59~2010~10~ict-10-03-04~4~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~අතුරු මුහුණත හා එහි සංරචක~~~~~~~~
60~2010~10~ict-10-03-05~5~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~යතුරු සංයෝජනය හා එහි ප්‍රතිපල~~~~~~~~
61~2010~10~ict-10-03-06~6~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~පැතුරුම් පතකට දත්ත ඇතුලත් කිරීම~~~~~~~~
62~2010~10~ict-10-03-07~7~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~මුලික ගණිත කර්ම භාවිතය~~~~~~~~
63~2010~10~ict-10-03-08~8~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~ගණනය කිරීම සදහා ශ්‍රිත භාවිතය~~~~~~~~
64~2010~10~ict-10-03-09~9~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~ගණනය කිරීම සදහා sum ශ්‍රිත භාවිතය~~~~~~~~
65~2010~10~ict-10-03-10~10~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~ගණනය කිරීම සදහා AVERAGE ශ්‍රිත භාවිතය~~~~~~~~
66~2010~10~ict-10-03-11~11~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~වැඩ පත්‍රිකාව ආකෘතිකරණය I~~~~~~~~
67~2010~10~ict-10-03-12~12~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~වැඩ පත්‍රිකාව ආකෘතිකරණය ii~~~~~~~~
68~2010~10~ict-10-03-13~13~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~සාපේක්ෂ කෝෂ ලිපින හා නිරපේක්ෂ කෝෂ ලිපින~~~~~~~~
69~2010~10~ict-10-03-14~14~3~7~විද්‍යුත් පැතුරුම්පත්  ~විද්‍යුත් පැතුරුම්පත්  ~පැතුරුම්පත් භාවිතයෙන් ප්‍රස්තාර නිර්මාණය~~~~~~~~
70~2010~10~ict-10-03-15~15~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~සමර්පණයක් යනු කුමක්ද~~~~~~~~
71~2010~10~ict-10-03-16~16~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~ ඉ සම්ර්පන මෘදුකාංග~~~~~~~~
72~2010~10~ict-10-03-17~17~3~8~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පණ~ඉලෙක්ට්‍රොනික සමර්පනයක් ආරම්භ කරමු~~~~~~~~
