12.Gampaha~WP/MINU/SRI VIDYASAGARA PIRIVENA                  ~GANEGODA BOKALAGAMA                               ~~0332270512
12.Gampaha~WP/GAM/MINU/VIDYADARSHI MULIKA PIRIVENA           ~HIRIKULUWA MUDDARAGAMA                            ~~0332288805
12.Gampaha~GAM/VIDYASARA MULIKA PIRIVENA                     ~RUKMALE VEYANGODA                                 ~~0723632815
12.Gampaha~WP/GAM/VIDYAKARA MULIKA PIRIVENA                  ~BANDARAWELA BEMMULLA                              ~~0332295898
12.Gampaha~WP/GAM/KALA/SRI VIDYASHEKARA MULIKA PIRIVENA      ~RANJANI WIMALARAMAYA PATTIYAHANDIYA KALANIYA      ~~0112911487
12.Gampaha~WP/GAM/PADMAWATHI MAHA PIRIVENA                   ~RAJAMAHAVIHARAYA KERALAGAMA HENEGAMA              ~~0332256100
12.Gampaha~WP/MINU/SHASHANAWARDANA PIRIVENA                  ~SUMANASARANAHIMI MW MEERIGAMA                     ~~0332273736
12.Gampaha~WP/GAM/GOTHAMA MULIKA PIRIVENA                    ~SAMANABADDA THITHTHAPATHTHARA                     ~~0112406186
12.Gampaha~WP/GAM/SRI WEERASINGHA MULIKA PIRIVENA            ~PARAKANDENIYA IMBULDENIYA                         ~~0113652944
12.Gampaha~WP/GAM/SIRISAGABO MULIKA PIRIVENA                 ~SRI NIVEKARAMA PURANA VIHARAYA YAATAWAKA URAPOLA  ~~0718288331
12.Gampaha~WP/GAM/MINU/SRI NALANDA MAHA VIHARAYA             ~BOTHALE AMBEPUSSA                                 ~~0332273717
12.Gampaha~WP/GAM/SRI AMARAWASHA MULIKA PIRIVENA             ~KIRIDIVITA RD GANEMULLA                           ~~0332260348
12.Gampaha~WP/GAM/SRI PRGNASARA MULIKA PIRIVENA              ~NEGOMBO RD WEYANGODA                              ~~0332287810
12.Gampaha~WP/NEG/SRI VIDYANIVASA MAHA PIRIVENA              ~WALPOLA RAGAMA                                    ~~0112232896
12.Gampaha~WP/GAM/MINU/SRI DHARMARATHNODAYA MULIKA PIRIVENA  ~ASWANA MANAMMANA MINUWANGODA                      ~~0112295360
12.Gampaha~WP/MINU/SARASWATHI MAHA PIRIVENA                  ~BALAGALLA DIULAPITIYE                             ~~0312243875
12.Gampaha~WP/GAM/MINU/SRI SADDHANANDA MAHA PIRIVENA         ~DORANEGODA UDUGMPOLA GAMPHA                       ~~0332227650
12.Gampaha~WP/GAM/MINU/VIJAYAMANGALA MULIKA PIRIVENA         ~YATIYANA MINUWANGODA                              ~~0112295027
12.Gampaha~WP/GAM/NEG/SRI LAKSHMI DHARMADUTHA MULIKA PIRIVENA~POTHGULMAHAVIHARAYA HEENATIYANA NINUWANGODA       ~~0112296443
12.Gampaha~WP/GAM/NEG/SRI MEDANKARA MULIKA PIRIVENA          ~AGURUKARAMULLA NEGOMBO                            ~~0713228053
12.Gampaha~WP/GAM/NEG/SRI SARANATHISSA MULIKA PIRIVENA       ~SRI VELUWANARAMAYA ADIAMBALAMA                    ~~0718376022
12.Gampaha~MINU/SRI NIGRODA MULIKA PIRIVENA                  ~NIVANDAMA SOUTH JAELA                             ~~0112245780
12.Gampaha~WP/KAL/SRI DEERANANDA MULIKA PIRIVENA             ~MAWARAMANDIYA HEIYANTHUDUWA                       ~~0112976219
12.Gampaha~GAM/SRI SARANANDA MAHA PIRIVENA                   ~GANEGODA                                          ~~0112536488
12.Gampaha~WP/GAM/WICKRAMASHILA BIKSHU MULIKA PIRIVENA       ~SRI THAPODARAMAYA UDUGODA RUKGAHAWILA             ~~0779049005
12.Gampaha~WP/KALA/SRI VIDYALOKA MULIKA PIRIVENA             ~MULAGANDAKUTI VIHARAYA VELISARANRAGAMA            ~~0112956165
12.Gampaha~WP/GAM/SRI WARDANA MULIKA PIRIVENA                ~BEMMULLA                                          ~~0768683979
12.Gampaha~WP/MINU/PRAWACHNAKARA MULIKA PIRIVENA             ~KAHADAWA MEERIGAMA                                ~~0718862130
12.Gampaha~WP/MINU WIJAYA SRI MUNIDOHASA MULIKA PIRIVENA     ~HAGAWATTA BADURAGODA                              ~~0717372119
12.Gampaha~WP/GAM/MINU/SIRISADDHATHISSA MULIKA PIRIVENA      ~YAGODAMULLA KOTUGODA                              ~~0776981970
12.Gampaha~WP/GAM/MINU SIRINIKETHA MAHA PIRIVENA             ~GALKANDA HORAMPALLA                               ~~0112296859
12.Gampaha~WP/GAM/SIRIMAHA VIHARA PIRIVENA                   ~RADAWANA                                          ~~0332267267
12.Gampaha~WP/GAM/KALA/SRI SUSHILODAYA MULIKA PIRIVENA       ~KADUBODA DELGODA                                  ~~0112487618
12.Gampaha~WP/GAM/ SIRI SUMANGALA VIDYATHANA PIRIVENA        ~LIYADDA ELLANKALA                                 ~~0332285937
12.Gampaha~WP/KAL/SRI SUMANAKEERTHI MAHA PIRIVENA            ~NARAMMALA GAMPHA                                  ~~0332255977
12.Gampaha~WP/GAM/MINU/SRI SUDARMARAMA MAHA VIDYALAYA        ~BALABOMA DEMALAPOLA                               ~~0332288789
12.Gampaha~WP/GAM/SRI SUDARSHANA DHARMAYATHANA MULIKA PIRIVEN~THIMBIRIGAMA KIRIDIWELA                           ~~33387347
12.Gampaha~NATIONAL BIKSHU EDUCATION MAHA PIRIVENA           ~RANMUTHUGALA MAHA VIHARAYA KADAWATHA              ~~0718398021
12.Gampaha~WP/GAM/ SRI DAMMANANDA MULIKA PIRIVENA            ~SRI SUBODARAMAYA RADDOLUWA KOTUGODA               ~~0112292633
12.Gampaha~SUBODANANDA MULIKA PIRIVENA                       ~ULLAPOLA DIVLAPITIYA                              ~~0312247500
12.Gampaha~WP/GAM/SRI NALIKERARAMA DHARMAYATHANA MULIKA PIRIV~MEEVITIGAMMANA URAPOLA                            ~~0332282463
12.Gampaha~WP/GAM/SRI PATHIRAJA MAHA PIRIVENA                ~RAJAMAHA VIHARAYA ATHTHANAGALLA                   ~~0332283805
